id,predicted_price
2591820310,"$2,711,439.250"
7974200820,"$2,762,982.500"
7701450110,"$2,643,078.500"
9522300010,"$2,930,385.000"
9510861140,"$2,343,564.250"
1761300310,"$2,751,593.500"
7732410120,"$2,745,527.500"
7010701383,"$2,795,861.000"
291310170,"$2,336,062.750"
4232901990,"$2,573,117.000"
6840701125,"$2,475,782.750"
3971700580,"$2,582,632.750"
4202400078,"$2,301,406.500"
6064800090,"$2,576,209.500"
2626119028,"$2,331,540.000"
3303980660,"$2,284,142.250"
862000020,"$2,595,703.750"
2386000070,"$2,628,718.000"
1138000450,"$2,463,515.500"
1775800420,"$2,525,731.250"
2291401425,"$2,680,436.250"
2025770560,"$2,694,727.250"
3525069037,"$2,628,247.750"
9324800450,"$2,831,386.750"
8080400136,"$2,818,103.250"
8651540040,"$2,392,623.250"
9407001790,"$2,126,712.250"
1773101530,"$2,603,773.250"
9432900250,"$2,792,458.750"
1794500695,"$2,748,314.500"
2220069003,"$2,759,232.250"
923000120,"$2,501,376.500"
5728000060,"$2,633,869.250"
16000200,"$2,890,305.250"
1926059094,"$2,573,772.500"
6672900220,"$2,694,830.750"
3629860060,"$2,451,670.000"
1822069109,"$2,637,961.500"
6675500105,"$2,693,582.500"
249000180,"$2,761,332.500"
226059065,"$2,627,737.000"
396100110,"$2,572,806.250"
9264450460,"$2,609,285.250"
7853361210,"$2,483,634.750"
9474700020,"$2,247,503.250"
421000455,"$2,346,247.000"
3755200220,"$2,487,228.750"
7960100075,"$2,620,154.250"
9477100490,"$2,572,797.750"
9138100350,"$2,693,035.500"
1624049275,"$2,679,483.000"
2770606890,"$2,549,589.750"
1157200189,"$2,826,674.750"
2770601800,"$2,685,579.750"
9301300805,"$2,687,078.000"
2325069032,"$2,768,576.000"
1021079099,"$2,593,188.500"
7215730040,"$2,537,553.000"
1853200080,"$2,272,173.500"
3224600340,"$2,664,880.750"
3222049120,"$2,533,572.000"
2113700025,"$2,422,549.000"
7893207925,"$2,560,977.500"
3586501085,"$2,553,368.750"
8024200010,"$2,502,750.000"
7116500705,"$2,582,862.500"
1598600209,"$2,685,311.500"
7204200025,"$3,330,365.750"
4206901505,"$2,486,701.750"
2937300440,"$2,564,506.000"
7205000180,"$2,670,847.500"
8718500665,"$2,403,993.500"
5318101765,"$2,728,719.250"
4122700020,"$2,633,247.500"
8078700020,"$2,589,396.000"
3303980680,"$2,296,497.000"
8924100372,"$2,848,086.250"
2781270210,"$2,592,044.250"
519000043,"$2,751,732.250"
3225069301,"$2,800,463.250"
151000075,"$2,851,872.500"
2297400020,"$2,672,889.250"
6617500085,"$2,636,953.750"
104510180,"$2,645,029.500"
3528900060,"$2,724,809.250"
3345100286,"$2,682,379.500"
1226039130,"$2,737,241.250"
8712100720,"$2,640,540.500"
3037200010,"$2,728,581.500"
3626039268,"$2,517,013.750"
104510230,"$2,641,755.750"
5112800060,"$2,365,278.500"
6072400280,"$2,574,546.750"
5317100570,"$2,647,586.250"
9528102993,"$2,694,490.500"
2919201095,"$2,523,220.000"
6181400920,"$2,631,172.500"
185000161,"$2,476,652.750"
8691400010,"$2,545,276.750"
3345700165,"$2,701,454.750"
6151800486,"$2,441,381.750"
4340000080,"$2,864,667.250"
4136960010,"$2,625,646.000"
3634100030,"$2,703,502.250"
1624059224,"$2,749,062.750"
2788400090,"$2,464,099.750"
9828200762,"$2,553,071.750"
7524400250,"$2,508,618.250"
3528000290,"$2,647,598.000"
5700003630,"$2,841,071.500"
2720069019,"$2,789,256.500"
7227501170,"$2,694,680.000"
2397101270,"$2,580,325.500"
6792100090,"$2,342,728.000"
2770602265,"$2,653,389.250"
3971700937,"$2,568,222.750"
422049203,"$2,528,256.000"
3076500830,"$2,550,964.500"
1423400260,"$2,710,469.000"
9161100795,"$2,476,693.500"
3126049052,"$2,628,112.000"
5100401468,"$2,515,414.000"
514500235,"$2,578,912.250"
1423200170,"$2,548,545.750"
1402100070,"$2,736,859.500"
624110020,"$2,356,913.000"
2407000145,"$2,467,473.250"
1890000225,"$2,676,913.000"
1320069271,"$2,674,192.750"
5490700085,"$2,490,625.500"
263000155,"$2,672,425.750"
3726800201,"$2,503,376.500"
5153200358,"$2,686,983.750"
2725079018,"$2,656,470.250"
7165700200,"$2,718,677.250"
9429000170,"$2,659,073.250"
8718500075,"$2,518,553.500"
1760650950,"$2,729,168.750"
1068000559,"$2,709,867.750"
4113800500,"$2,675,446.750"
4077800507,"$2,754,852.000"
2725069150,"$2,622,859.750"
4008400035,"$2,722,659.000"
7016310270,"$2,674,965.000"
1432701230,"$2,508,615.500"
3278606050,"$2,750,611.750"
2473350710,"$2,575,451.500"
2185000685,"$2,568,251.000"
7792000025,"$2,618,604.000"
6868200029,"$2,665,486.500"
624069003,"$2,513,183.500"
7431500280,"$2,751,974.000"
3296000040,"$2,571,792.250"
1118001215,"$2,645,157.250"
6453900040,"$2,866,337.750"
333100209,"$2,541,147.000"
34001765,"$2,838,324.500"
8946700100,"$2,671,322.500"
5561401210,"$2,539,389.750"
